                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.00528,                 1.2867,                0.00067,                0.72605,                 1.6775,                      1,                0.99072,                  0.995,                0.62403,                      1,                0.99072,                  0.995,                 0.5665,                0.01014,                 2.3153,                  4e-05,                 1.1933,                  3.603,               0.001802,               0.001802,               0.001802
                     23,                0.00535,                 1.4056,                0.00187,                 0.7619,                 1.7283,                0.27778,                    0.5,                0.41959,                0.23217,                0.70222,                   0.25,                0.30393,                0.07656,                0.01311,                 4.7293,                  2e-05,                 4.1742,                 4.1704,              0.0017921,              0.0017921,              0.0017921
                     24,                0.00498,                 1.2705,                0.00067,                0.73119,                 1.6535,                0.05556,                   0.05,                0.07167,                0.05733,                      0,                      0,                      0,                      0,                0.01425,                 11.684,                0.12272,                 8.6346,                 5.6772,              0.0017822,              0.0017822,              0.0017822
                     25,                0.00479,                 1.2569,                 0.0006,                  0.725,                 1.6377,                0.66248,                0.09874,                0.15947,                 0.0852,                      0,                      0,                      0,                      0,                0.01344,                 8.0464,                0.04363,                 6.2943,                  4.493,              0.0017723,              0.0017723,              0.0017723
                     26,                0.00433,                 1.1087,                0.00045,                0.62327,                 1.5797,                      1,                0.18275,                0.43549,                0.25528,                0.09302,                    0.2,                0.11567,                0.02078,                 0.0098,                 4.5971,                0.00167,                 3.8655,                 3.0589,              0.0017624,              0.0017624,              0.0017624
                     27,                0.00443,                0.97269,                0.00036,                0.57778,                 1.5598,                0.79338,                   0.75,                0.79027,                0.54381,                0.47591,                    0.7,                0.64023,                0.23811,                0.00651,                 3.3135,                  1e-05,                 2.9561,                  2.346,              0.0017525,              0.0017525,              0.0017525
                     28,                0.00446,                 1.0808,                0.00119,                0.62914,                 1.5844,                0.70388,                0.71359,                0.82047,                0.49812,                0.83907,                    0.4,                0.60974,                0.31021,                0.00617,                 2.2809,                  1e-05,                 2.0399,                 2.1807,              0.0017426,              0.0017426,              0.0017426
                     29,                0.00418,                0.85429,                0.00174,                0.59747,                 1.5476,                0.99619,                      1,                  0.995,                0.72654,                 0.8444,                   0.85,                0.80955,                0.43601,                0.00471,                 1.8173,                  2e-05,                 1.0087,                 1.8948,              0.0017327,              0.0017327,              0.0017327
                     30,                0.00404,                0.82423,                0.00053,                 0.5738,                 1.4257,                0.99573,                      1,                  0.995,                0.88041,                0.99573,                      1,                  0.995,                0.63087,                0.00451,                 1.5031,                  2e-05,                0.73418,                 1.8434,              0.0017228,              0.0017228,              0.0017228
                     31,                0.00412,                0.92318,                0.00048,                0.71033,                 1.4496,                      1,                0.99523,                  0.995,                0.87318,                      1,                0.99523,                  0.995,                0.77253,                0.00461,                0.91349,                  3e-05,                 0.8089,                 1.8326,              0.0017129,              0.0017129,              0.0017129
                     32,                0.00472,                0.91656,                0.00041,                0.70222,                 1.6289,                0.99676,                      1,                  0.995,                0.70951,                0.89695,                    0.9,                0.89083,                0.48812,                0.00571,                 1.2769,                  1e-05,                 1.5308,                 1.9833,               0.001703,               0.001703,               0.001703
                     33,                0.00476,                0.82107,                0.00061,                0.78697,                 1.5883,                0.89106,                    0.9,                0.89559,                0.65294,                0.74128,                   0.75,                0.73949,                0.43632,                0.00499,                  1.666,                  1e-05,                  1.219,                 1.8448,              0.0016931,              0.0016931,              0.0016931
                     34,                0.00435,                0.78129,                 0.0004,                0.79559,                 1.4856,                 0.9732,                    0.9,                0.91606,                0.72316,                0.87539,                    0.8,                0.82486,                0.38916,                0.00469,                 1.9022,                  1e-05,                 1.0708,                 1.8377,              0.0016832,              0.0016832,              0.0016832
                     35,                0.00416,                0.88004,                0.00037,                0.67675,                 1.5373,                 0.9452,                   0.95,                0.95036,                0.76061,                0.94251,                    0.9,                0.91037,                0.32895,                0.00477,                 1.8857,                  1e-05,                0.98308,                 1.8484,              0.0016733,              0.0016733,              0.0016733
                     36,                0.00412,                 0.8811,                0.00036,                0.69343,                  1.482,                0.99689,                      1,                  0.995,                0.87943,                0.99689,                      1,                  0.995,                0.55899,                0.00454,                 1.5387,                  1e-05,                 1.6166,                 1.7811,              0.0016634,              0.0016634,              0.0016634
                     37,                0.00384,                0.64249,                 0.0005,                0.61622,                 1.4141,                 0.9972,                      1,                  0.995,                0.84456,                 0.9972,                      1,                  0.995,                0.67522,                0.00499,                  1.203,                  1e-05,                0.98348,                 1.8142,              0.0016535,              0.0016535,              0.0016535
                     38,                0.00426,                0.92277,                0.00066,                0.76724,                 1.5393,                0.99581,                   0.95,                0.95962,                0.77106,                0.99581,                   0.95,                0.95962,                0.65925,                0.00553,                 1.1561,                  7e-05,                0.96698,                 1.9528,              0.0016436,              0.0016436,              0.0016436
                     39,                0.00401,                0.80424,                0.00155,                 1.3502,                 1.4604,                0.07972,                   0.85,                0.07569,                0.06663,                0.07972,                   0.85,                0.07312,                0.05666,                0.00508,                 1.9022,                0.00784,                    inf,                 1.9197,              0.0016337,              0.0016337,              0.0016337
